source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
2D0100	0	ASV	Neuromuskuläre Erkrankungen	44812002	SNOMED	2021-05-06	2099-12-31	<null>
030800	0	ASV	pädiatrische Kardiologie	0	None	1970-01-01	2099-12-31	<null>
021400	0	ASV	Kurzdarmsyndrom	4131798	SNOMED	1970-01-01	2099-12-31	<null>
1B0100	0	ASV	Rheumatologische Erkrankungen, Erwachsene	138845	SNOMED	2018-04-19	2099-12-31	<null>
020700	0	ASV	primär sklerosierende Cholangitis	4058821	SNOMED	1970-01-01	2099-12-31	<null>
021300	0	ASV	neuromuskuläre Erkrankungen	44812002	SNOMED	1970-01-01	2099-12-31	<null>
1A0600	0	ASV	Kopf- und Halstumore	4111017	SNOMED	2021-05-06	2099-12-31	<null>
020800	0	ASV	Morbus Wilson	4229262	SNOMED	1970-01-01	2099-12-31	<null>
030900	0	ASV	Frühgeborene mit Folgeschäden	4217564	SNOMED	1970-01-01	2099-12-31	<null>
020600	0	ASV	biliäre Zirrhose	192675	SNOMED	1970-01-01	2099-12-31	<null>
1A0200	0	ASV	Onkologische Erkrankungen, gynäkologische Tumore ohne Subspezialisierung	4216788	SNOMED	2016-08-10	2099-12-31	<null>
030700	0	ASV	Anfallsleiden	4029498	SNOMED	1970-01-01	2099-12-31	<null>
2E0100	0	ASV	schwerwiegende immunologische Erkrankungen: Erkrankungsgruppe 1 Sarkoidose	438688	SNOMED	2020-04-07	2099-12-31	<null>
2C0100	0	ASV	Hämophilie	4236898	SNOMED	2019-07-04	2099-12-31	<null>
020300	0	ASV	Fehlbildungen, angeborenen Skelettsystemfehlbildungen und neuromuskulären Erkrankungen	4309222	SNOMED	1970-01-01	2099-12-31	<null>
030600	0	ASV	Multiple Sklerose	374919	SNOMED	1970-01-01	2099-12-31	<null>
030302	0	ASV	schwere Verlaufsformen rheumatologischer Erkrankungen: Kinder und Jugendliche	138845	SNOMED	1970-01-01	2099-12-31	<null>
2A0100	0	ASV	Tuberkulose, Tuberkulose und atypische Mykobakteriose	4008721	SNOMED	2014-04-01	2099-12-31	<null>
2A0100	0	ASV	Tuberkulose, Tuberkulose und atypische Mykobakteriose	434557	SNOMED	2014-04-01	2099-12-31	<null>
2B0100	0	ASV	Mukoviszidose	441267	SNOMED	2017-03-18	2099-12-31	<null>
020400	0	ASV	schwerwiegende Immunologische Erkrankungen	440371	SNOMED	1970-01-01	2099-12-31	<null>
1A0201	0	ASV	Onkologische Erkrankungen, Mammakarzinom	4116071	SNOMED	2016-08-10	2099-12-31	<null>
2L0100	0	ASV	pulmonale Hypertonie	4322024	SNOMED	2016-06-01	2099-12-31	<null>
030101	0	ASV	onkologische Erkrankungen: Gastrointestinale Tumore, Tumore der Bauchhöhle"	4216788	SNOMED	1970-01-01	2099-12-31	<null>
1A0400	0	ASV	Hauttumore	444209	SNOMED	2019-11-05	2099-12-31	<null>
020200	0	ASV	Gerinnungsstörungen (Hämophilie)	432585	SNOMED	1970-01-01	2099-12-31	<null>
1B0101	0	ASV	Rheumatologische Erkrankungen, Kinder	138845	SNOMED	2018-04-19	2099-12-31	<null>
021002	0	ASV	angeborene Stoffwechselstörungen: Hypothyreose	140673	SNOMED	1970-01-01	2099-12-31	<null>
020302	0	ASV	Fehlbildungen	4064671	SNOMED	1970-01-01	2099-12-31	<null>
2O0100	0	ASV	ausgewählte seltene Lebererkrankungen	194984	SNOMED	2018-08-16	2099-12-31	<null>
030301	0	ASV	schwere Verlaufsformen rheumatologischer Erkrankungen: Erwachsene	138845	SNOMED	1970-01-01	2099-12-31	<null>
1A0500	0	ASV	Tumore der Lunge und des Thorax	4111018	SNOMED	2020-04-07	2099-12-31	<null>
1A0500	0	ASV	Tumore der Lunge und des Thorax	4128888	SNOMED	2020-04-07	2099-12-31	<null>
2K0100	0	ASV	Marfan-Syndrom	258540	SNOMED	2015-06-30	2099-12-31	<null>
030500	0	ASV	Tuberkulose	434557	SNOMED	1970-01-01	2099-12-31	<null>
2H0100	0	ASV	Morbus Wilson	4229262	SNOMED	2018-06-12	2099-12-31	<null>
1A0100	0	ASV	Onkologische Erkrankungen, Gastrointestinale Tumore und Tumore der Bauchhöhle	4216788	SNOMED	2014-07-26	2099-12-31	<null>
030107	0	ASV	onkologische Erkrankungen: Tumore des Auges	4160345	SNOMED	1970-01-01	2099-12-31	<null>
030200	0	ASV	HIV/AIDS	4267414	SNOMED	1970-01-01	2099-12-31	<null>
021500	0	ASV	Vor- und Nachbehandlung bei Lebertransplantation	0	None	1970-01-01	2099-12-31	<null>
1A0300	0	ASV	Urologische Tumore	4216788	SNOMED	2018-04-26	2099-12-31	<null>
021003	0	ASV	angeborene Stoffwechselstörungen: Phenylketonurie	432872	SNOMED	1970-01-01	2099-12-31	<null>
020301	0	ASV	angeborenen Skelettsystemfehlbildungen	4309222	SNOMED	1970-01-01	2099-12-31	<null>
021100	0	ASV	Marfan-Syndrom	258540	SNOMED	1970-01-01	2099-12-31	<null>
030400	0	ASV	schwere Herzinsuffizienz (NYHA Stadium 3–4)	442310	SNOMED	1970-01-01	2099-12-31	<null>
010200	0	ASV	Brachytherapie	40317890	SNOMED	1970-01-01	2099-12-31	<null>
021200	0	ASV	Pulmonale Hypertonie	4322024	SNOMED	1970-01-01	2099-12-31	<null>
020100	0	ASV	Mukoviszidose	441267	SNOMED	1970-01-01	2099-12-31	<null>
030106	0	ASV	onkologische Erkrankungen: Kopf- und Halstumore	4111017	SNOMED	1970-01-01	2099-12-31	<null>
020900	0	ASV	Transsexualismus	4231241	SNOMED	1970-01-01	2099-12-31	<null>
030300	0	ASV	schwere Verlaufsformen rheumatologischer Erkrankungen	138845	SNOMED	1970-01-01	2099-12-31	<null>
021001	0	ASV	angeborene Stoffwechselstörungen: Adrenogenitales Syndrom	196369	SNOMED	1970-01-01	2099-12-31	<null>
031000	0	ASV	Querschnittslähmung bei Komplikationen, die eine interdisziplinäre Versorgung erforderlich machen	192606	SNOMED	1970-01-01	2099-12-31	<null>
1A0202	0	ASV	Onkologische Erkrankungen, Subspezialisierung andere gynäkologische Tumore	4216788	SNOMED	2016-08-10	2099-12-31	<null>
030109	0	ASV	onkologische Erkrankungen: Urologische Tumore	4216788	SNOMED	1970-01-01	2099-12-31	<null>
021005	0	ASV	angeborene Stoffwechselstörungen: Galactosaemie	439788	SNOMED	1970-01-01	2099-12-31	<null>
010100	0	ASV	CT/MRT-gestützte interventionelle schmerztherapeutische Leistungen	0	None	1970-01-01	2099-12-31	<null>
030104	0	ASV	onkologische Erkrankungen: Hauttumore	444209	SNOMED	1970-01-01	2099-12-31	<null>
030108	0	ASV	onkologische Erkrankungen: Gynäkologische Tumore	4216788	SNOMED	1970-01-01	2099-12-31	<null>
030111	0	ASV	onkologische Erkrankungen: Tumore bei Kindern und Jugendlichen	4216788	SNOMED	1970-01-01	2099-12-31	<null>
021004	0	ASV	angeborene Stoffwechselstörungen: Medium-Chain-Acyl-CoA-Dehydrogenase-Mangel (MCAD-Mangel)	4029371	SNOMED	1970-01-01	2099-12-31	<null>
030103	0	ASV	onkologische Erkrankungen: Knochen- und Weichteil-Tumore	4308811	SNOMED	1970-01-01	2099-12-31	<null>
030103	0	ASV	onkologische Erkrankungen: Knochen- und Weichteil-Tumore	4019913	SNOMED	1970-01-01	2099-12-31	<null>
030102	0	ASV	onkologische Erkrankungen: Tumore der Lunge und des Thorax	4111018	SNOMED	1970-01-01	2099-12-31	<null>
030102	0	ASV	onkologische Erkrankungen: Tumore der Lunge und des Thorax	4128888	SNOMED	1970-01-01	2099-12-31	<null>
030110	0	ASV	onkologische Erkrankungen: Tumore des lymphatischen, blutbildenden Gewebes und schwere Erkrankungen der Blutbildung	4147164	SNOMED	1970-01-01	2099-12-31	<null>
030105	0	ASV	onkologische Erkrankungen: Tumore des Gehirns und der peripheren Nerven	4130045	SNOMED	1970-01-01	2099-12-31	<null>
030105	0	ASV	onkologische Erkrankungen: Tumore des Gehirns und der peripheren Nerven	4116092	SNOMED	1970-01-01	2099-12-31	<null>
