concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000020197	Myo-Inositol	Drug	ATC-GM	ATC 5th		A05BA12	1970-01-01	2099-12-31	
2000020198	Ornithinaspartate	Drug	ATC-GM	ATC 5th		A05BA17	1970-01-01	2099-12-31	
2000020199	Cianidanol	Drug	ATC-GM	ATC 5th		A05BA18	1970-01-01	2099-12-31	
2000020200	Choline	Drug	ATC-GM	ATC 5th		A05BA19	2022-05-01	2099-12-31	
2000020277	Fucus vesiculosus	Drug	ATC-GM	ATC 5th		A08AH02	1970-01-01	2099-12-31	
2000020350	Silicon dioxide	Drug	ATC-GM	ATC 5th		A12CX02	1970-01-01	2099-12-31	
2000020351	Other preparations containing minerals, combinations	Drug	ATC-GM	ATC 5th		A12CX50	1970-01-01	2099-12-31	
2000020352	Tonic	Drug	ATC-GM	ATC 4th		A13AA  	1970-01-01	2099-12-31	
2000020353	Glutamic acid	Drug	ATC-GM	ATC 5th		A13AA01	1970-01-01	2099-12-31	
2000020354	Cod liver oil	Drug	ATC-GM	ATC 5th		A13AA02	1970-01-01	2099-12-31	
2000020355	Tonic, various	Drug	ATC-GM	ATC 5th		A13AA10	2018-05-01	2099-12-31	
2000020356	Tonic	Drug	ATC-GM	ATC 5th		A13AA50	1970-01-01	2018-04-30	U
2000020357	Tonic, combinations	Drug	ATC-GM	ATC 5th		A13AA50	2018-05-01	2099-12-31	
2000020358	Homeopathic and anthroposophic tonics	Drug	ATC-GM	ATC 4th		A13AH  	1970-01-01	2099-12-31	
2000020359	Various homeopathic and anthroposophic tonics	Drug	ATC-GM	ATC 5th		A13AH10	1970-01-01	2099-12-31	
2000020360	Homeopathic and anthroposophic tonics, combinations	Drug	ATC-GM	ATC 5th		A13AH20	1970-01-01	2099-12-31	
2000020361	Herbal tonics	Drug	ATC-GM	ATC 4th		A13AP  	1970-01-01	2099-12-31	
2000020362	Eleutherococcus root	Drug	ATC-GM	ATC 5th		A13AP01	1970-01-01	2099-12-31	
2000020363	Ginseng root	Drug	ATC-GM	ATC 5th		A13AP02	1970-01-01	2099-12-31	
2000020364	Various herbal tonics	Drug	ATC-GM	ATC 5th		A13AP10	1970-01-01	2099-12-31	
