concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000005477	Consultation demand	Observation	Outpatient charge	OUT charge code		21000010	2012-01-01	2099-12-31	
2000005476	Without differentiation	Observation	Outpatient charge	OUT charge code		21000000	2012-01-01	2099-12-31	
2000005474	University outpatient clinics according to § 117 SGB V	Observation	Outpatient charge	OUT charge Hierarchy		OMOP6000413	1970-01-01	2099-12-31	
2000005475	Quarterly flat rate	Observation	Outpatient charge	OUT charge Hierarchy		OMOP6000414	1970-01-01	2099-12-31	
2000005478	Kidney biopsy	Observation	Outpatient charge	OUT charge code		21000020	2012-01-01	2099-12-31	
2000005479	Cytology	Observation	Outpatient charge	OUT charge code		21000030	2012-01-01	2099-12-31	
2000005480	Histology	Observation	Outpatient charge	OUT charge code		21000040	2012-01-01	2099-12-31	
2000005481	Psychotherapeutic services	Observation	Outpatient charge	OUT charge code		21000050	2012-01-01	2099-12-31	
2000005482	Infectious and tropical medicine	Observation	Outpatient charge	OUT charge code		21000120	2012-01-01	2099-12-31	
2000005483	Motoneuron outpatient clinic	Observation	Outpatient charge	OUT charge code		21000130	2012-01-01	2099-12-31	
2000005484	Rare neuromuscular diseases	Observation	Outpatient charge	OUT charge code		21000140	2012-01-01	2099-12-31	
2000005485	Transplant follow-up	Observation	Outpatient charge	OUT charge code		21000150	2012-01-01	2099-12-31	
2000005486	Oncology additional flat rate	Observation	Outpatient charge	OUT charge code		21000170	2012-01-01	2099-12-31	
2000005487	Follow-up transplantation after TPG	Observation	Outpatient charge	OUT charge code		21000250	2012-01-01	2099-12-31	
2000005488	Special groups of people	Observation	Outpatient charge	OUT charge code		21000260	2012-01-01	2099-12-31	
2000005489	Services for programs of diabetes type I, diabetes type II and asthma (9900D)	Observation	Outpatient charge	OUT charge code		21000280	2012-01-01	2099-12-31	
2000005490	Services for the program for the breast cancer (9900B)	Observation	Outpatient charge	OUT charge code		21000290	2012-01-01	2099-12-31	
2000005491	Follow-up contact	Observation	Outpatient charge	OUT charge code		21000330	2013-01-01	2099-12-31	
2000005492	Extended laboratory tests	Observation	Outpatient charge	OUT charge code		21000350	2014-01-01	2099-12-31	
2000005493	AZ1 Normofrequency individual and group therapy	Observation	Outpatient charge	OUT charge code		21000380	2017-01-01	2099-12-31	
2000005494	AZ2 Low-frequency individual and group therapy	Observation	Outpatient charge	OUT charge code		21000390	2017-01-01	2099-12-31	
2000005495	AZD diagnostics	Observation	Outpatient charge	OUT charge code		21000400	2017-01-01	2099-12-31	
2000005496	AZZ high-frequency therapy for outpatient crisis intervention	Observation	Outpatient charge	OUT charge code		21000410	2017-01-01	2099-12-31	
2000005497	Oncology	Observation	Outpatient charge	OUT charge code		21000440	2018-01-01	2099-12-31	
2000005498	Stereotaxy	Observation	Outpatient charge	OUT charge code		21000450	2018-01-01	2099-12-31	
2000005499	LDL apheresis	Observation	Outpatient charge	OUT charge code		21000460	2018-01-01	2099-12-31	
2000005500	Special flat rate for special indications	Observation	Outpatient charge	OUT charge code		21000470	2018-01-01	2099-12-31	
2000005501	CT/MRI/angiographies	Observation	Outpatient charge	OUT charge code		21000480	2018-01-01	2099-12-31	
2000005502	Internal oncology, medical service	Observation	Outpatient charge	OUT charge code		21000511	2018-01-01	2099-12-31	
2000005503	Hepatology, medical service	Observation	Outpatient charge	OUT charge code		21000521	2018-01-01	2099-12-31	
2000005504	Internal intensive medicine/haemostaseology, medical service	Observation	Outpatient charge	OUT charge code		21000531	2018-01-01	2099-12-31	
2000005505	Haematology, medical service	Observation	Outpatient charge	OUT charge code		21000541	2018-01-01	2099-12-31	
2000005506	Neuropathology	Observation	Outpatient charge	OUT charge code		21000550	2018-01-01	2099-12-31	
2000005507	Reduced flat rate after exceeding the number of cases	Observation	Outpatient charge	OUT charge code		21000560	2018-01-01	2099-12-31	
2000005508	Genetic inborn errors of metabolism	Observation	Outpatient charge	OUT charge code		21000570	2019-01-01	2099-12-31	
2000005509	Acquired plasmatic and cellular coagulation disorders	Observation	Outpatient charge	OUT charge code		21000580	2019-01-01	2099-12-31	
2000005510	Psychotherapy 1	Observation	Outpatient charge	OUT charge code		21000590	2020-01-01	2099-12-31	
2000005511	Psychotherapy 2	Observation	Outpatient charge	OUT charge code		21000600	2020-01-01	2099-12-31	
2000005512	COVID-19 treatment	Observation	Outpatient charge	OUT charge code		21000610	2020-01-01	2099-12-31	
2000005513	Internal medicine	Observation	Outpatient charge	OUT charge code		21001000	2012-01-01	2099-12-31	
2000005514	Internal medicine/geriatrics	Observation	Outpatient charge	OUT charge code		21001020	2012-01-01	2099-12-31	
2000005515	Internal medicine/cardiology	Observation	Outpatient charge	OUT charge code		21001030	2012-01-01	2099-12-31	
2000011041	Internal medicine/cardiology, medical service	Observation	Outpatient charge	OUT charge code		21001031	2012-01-01	2099-12-31	
2000005516	Internal medicine /nephrology	Observation	Outpatient charge	OUT charge code		21001040	2012-01-01	2099-12-31	
2000005517	Internal medicine/hematology and internal oncology	Observation	Outpatient charge	OUT charge code		21001050	2012-01-01	2099-12-31	
2000005518	Internal medicine/endocrinology	Observation	Outpatient charge	OUT charge code		21001060	2012-01-01	2099-12-31	
2000005519	Internal medicine/gastroenterology	Observation	Outpatient charge	OUT charge code		21001070	2012-01-01	2099-12-31	
2000005520	Internal medicine/pneumology	Observation	Outpatient charge	OUT charge code		21001080	2012-01-01	2099-12-31	
2000005521	Internal medicine/rheumatology	Observation	Outpatient charge	OUT charge code		21001090	2012-01-01	2099-12-31	
2000005522	Internal medicine/pulmonary and bronchial medicine	Observation	Outpatient charge	OUT charge code		21001140	2012-01-01	2099-12-31	
2000005523	Internal medicine/tumor research	Observation	Outpatient charge	OUT charge code		21001500	2012-01-01	2099-12-31	
2000005524	Internal medicine/coloproctology	Observation	Outpatient charge	OUT charge code		21001510	2012-01-01	2099-12-31	
2000005525	Internal medicine/infectious diseases	Observation	Outpatient charge	OUT charge code		21001520	2012-01-01	2099-12-31	
2000005526	Internal medicine/diabetes	Observation	Outpatient charge	OUT charge code		21001530	2012-01-01	2099-12-31	
2000005527	Internal medicine/naturopathy	Observation	Outpatient charge	OUT charge code		21001540	2012-01-01	2099-12-31	
2000005528	Internal medicine/stroke patients (stroke units, Article 7 § 1 (3) GKV-SolG)	Observation	Outpatient charge	OUT charge code		21001560	2012-01-01	2099-12-31	
2000005529	Internal medicine B	Observation	Outpatient charge	OUT charge code		21001900	2012-01-01	2099-12-31	
2000011042	Internal medicine B, medical service	Observation	Outpatient charge	OUT charge code		21001901	2012-01-01	2099-12-31	
2000005530	Internal medicine C	Observation	Outpatient charge	OUT charge code		21001910	2012-01-01	2099-12-31	
2000005531	Internal medicine D	Observation	Outpatient charge	OUT charge code		21001920	2012-01-01	2099-12-31	
2000005532	Geriatrics	Observation	Outpatient charge	OUT charge code		21002000	2012-01-01	2099-12-31	
2000005533	Geriatrics/gynecology	Observation	Outpatient charge	OUT charge code		21002240	2012-01-01	2099-12-31	
2000005534	Geriatrics/day clinic (for partial inpatient care rates)	Observation	Outpatient charge	OUT charge code		21002600	2012-01-01	2099-12-31	
2000005535	Geriatrics/night clinic (for partial inpatient care rates)	Observation	Outpatient charge	OUT charge code		21002610	2012-01-01	2099-12-31	
2000005536	Geriatrics B	Observation	Outpatient charge	OUT charge code		21002900	2012-01-01	2099-12-31	
2000005537	Geriatrics C	Observation	Outpatient charge	OUT charge code		21002910	2012-01-01	2099-12-31	
2000005538	Geriatrics D	Observation	Outpatient charge	OUT charge code		21002920	2012-01-01	2099-12-31	
2000005539	Cardiology	Observation	Outpatient charge	OUT charge code		21003000	2012-01-01	2099-12-31	
2000011043	Cardiology, medical service	Observation	Outpatient charge	OUT charge code		21003001	2012-01-01	2099-12-31	
2000005540	Cardiology B	Observation	Outpatient charge	OUT charge code		21003900	2012-01-01	2099-12-31	
2000005541	Cardiology C	Observation	Outpatient charge	OUT charge code		21003910	2012-01-01	2099-12-31	
2000005542	Cardiology D	Observation	Outpatient charge	OUT charge code		21003920	2012-01-01	2099-12-31	
2000005543	Nephrology	Observation	Outpatient charge	OUT charge code		21004000	2012-01-01	2099-12-31	
2000005544	Nephrology/pediatrics	Observation	Outpatient charge	OUT charge code		21004100	2012-01-01	2099-12-31	
2000005545	Nephrology/intensive care medicine	Observation	Outpatient charge	OUT charge code		21004360	2012-01-01	2099-12-31	
2000005546	Nephrology B	Observation	Outpatient charge	OUT charge code		21004900	2012-01-01	2099-12-31	
2000005547	Nephrology C	Observation	Outpatient charge	OUT charge code		21004910	2012-01-01	2099-12-31	
2000005548	Nephrology D	Observation	Outpatient charge	OUT charge code		21004920	2012-01-01	2099-12-31	
2000005549	Hematology and internal oncology	Observation	Outpatient charge	OUT charge code		21005000	2012-01-01	2099-12-31	
2000011044	Hematology and internal oncology, medical service	Observation	Outpatient charge	OUT charge code		21005001	2012-01-01	2099-12-31	
2000005550	Hematology and internal oncology/pediatrics	Observation	Outpatient charge	OUT charge code		21005100	2012-01-01	2099-12-31	
2000005551	Hematology and internal oncology/gynecology	Observation	Outpatient charge	OUT charge code		21005240	2012-01-01	2099-12-31	
2000005552	Hematology and internal oncology/radiation medicine	Observation	Outpatient charge	OUT charge code		21005330	2012-01-01	2099-12-31	
2000005553	Hematology and internal oncology B	Observation	Outpatient charge	OUT charge code		21005900	2012-01-01	2099-12-31	
2000005554	Hematology and internal oncology C	Observation	Outpatient charge	OUT charge code		21005910	2012-01-01	2099-12-31	
