source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
32	0	Provider Specialty	Geriatrie	38004478	Medicare Specialty	1970-01-01	2099-12-31	<null>
6	0	Provider Specialty	Chirurgie	38004447	Medicare Specialty	1970-01-01	2099-12-31	<null>
58	0	Provider Specialty	Psychiatrie und Psychotherapie	38004469	Medicare Specialty	1970-01-01	2099-12-31	<null>
84	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
94	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
68	0	Provider Specialty	Psychologischer Psychotherapeut	0	None	1970-01-01	2099-12-31	<null>
74	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
16	0	Provider Specialty	Gynäkologische Endokrinologie und Reproduktionsmedizin	45756826	ABMS	1970-01-01	2099-12-31	<null>
33	0	Provider Specialty	Infektiologie	38004484	Medicare Specialty	1970-01-01	2099-12-31	<null>
85	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
59	0	Provider Specialty	Forensische Psychiatrie	45756775	ABMS	1970-01-01	2099-12-31	<null>
7	0	Provider Specialty	Gefäßchirurgie	38004496	Medicare Specialty	1970-01-01	2099-12-31	<null>
75	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
69	0	Provider Specialty	Kinder- und Jugendlichen-Psychotherapeut	0	None	1970-01-01	2099-12-31	<null>
95	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
17	0	Provider Specialty	Gynäkologische Onkologie	38004513	Medicare Specialty	1970-01-01	2099-12-31	<null>
34	0	Provider Specialty	Kinderarzt (Hausarzt)	38004477	Medicare Specialty	1970-01-01	2099-12-31	<null>
8	0	Provider Specialty	Viszeralchirurgie	38004456	Medicare Specialty	1970-01-01	2099-12-31	<null>
60	0	Provider Specialty	Psychosomatische Medizin und Psychotherapie	45756823	ABMS	1970-01-01	2099-12-31	<null>
86	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
76	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
70	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
96	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
37	0	Provider Specialty	Neonatologie (Hausarzt)	45756786	ABMS	1970-01-01	2099-12-31	<null>
11	0	Provider Specialty	Unfallchirurgie	38004016	NUCC	1970-01-01	2099-12-31	<null>
63	0	Provider Specialty	Kinderradiologie	45756816	ABMS	1970-01-01	2099-12-31	<null>
65	0	Provider Specialty	Strahlentherapie	38004509	Medicare Specialty	1970-01-01	2099-12-31	<null>
77	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
89	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
38	0	Provider Specialty	Neuropädiatrie (Hausarzt)	45756788	ABMS	1970-01-01	2099-12-31	<null>
91	0	Provider Specialty	zur freien Verfügung der KVen	0	None	1970-01-01	2099-12-31	<null>
13	0	Provider Specialty	Plastische Chirurgie	38004467	Medicare Specialty	1970-01-01	2099-12-31	<null>
12	0	Provider Specialty	Chirurgie/Rheumatologie	38004491	Medicare Specialty	1970-01-01	2099-12-31	<null>
64	0	Provider Specialty	Neuroradiologie	45756791	ABMS	1970-01-01	2099-12-31	<null>
66	0	Provider Specialty	Transfusionsmedizin	45756752	ABMS	1970-01-01	2099-12-31	<null>
35	0	Provider Specialty	Kinder-Hämatologie und –Onkologie (Hausarzt)	45756811	ABMS	1970-01-01	2099-12-31	<null>
