source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
0605	0	Admission Reason	Birth, free	4303293	SNOMED	1970-01-01	2099-12-31	
0805	0	Admission Reason	Inpatient admission for organ removal, free	4180080	SNOMED	1970-01-01	2099-12-31	
0205	0	Admission Reason	Hospital treatment, full inpatient with previous pre-inpatient treatment, free	4010105	SNOMED	1970-01-01	2099-12-31	
0606	0	Admission Reason	Birth, war disabled persons' suffering/Federal Pension Act suffering	4303293	SNOMED	1970-01-01	2099-12-31	
0642	0	Admission Reason	Birth, occupational accident/occupational disease (§ 11 Abs. 5 SGB V), integrated care	4303293	SNOMED	1970-01-01	2099-12-31	
0524	0	Admission Reason	Inpatient childbirth, indication of influence of external force, change of cost unit	4237496	SNOMED	1970-01-01	2099-12-31	
0607	0	Admission Reason	Birth, emergency	4303293	SNOMED	1970-01-01	2099-12-31	
0124	0	Admission Reason	Hospital treatment, full inpatient, indication of influence of external force, change of cost unit	4214577	SNOMED	1970-01-01	2099-12-31	
0324	0	Admission Reason	Hospital treatment, partial inpatient, indication of influence of external force, change of cost unit	4080064	SNOMED	1970-01-01	2099-12-31	
0525	0	Admission Reason	Inpatient childbirth, free, change of cost unit	4237496	SNOMED	1970-01-01	2099-12-31	
0621	0	Admission Reason	Birth, standard case, change of cost unit	4303293	SNOMED	1970-01-01	2099-12-31	
0724	0	Admission Reason	Readmission due to complications (flat rate per case) according to KFPV 2003, indication of influence of external force, change of cost unit	4213258	SNOMED	1970-01-01	2099-12-31	
0643	0	Admission Reason	Birth, traffic accident/sports accident/other accident (e.g. § 116 SGB X), integrated care	4303293	SNOMED	1970-01-01	2099-12-31	
0806	0	Admission Reason	Inpatient admission for organ removal, war disabled persons' suffering/Federal Pension Act suffering	4180080	SNOMED	1970-01-01	2099-12-31	
0125	0	Admission Reason	Hospital treatment, full inpatient, free, change of cost unit	4214577	SNOMED	1970-01-01	2099-12-31	
0206	0	Admission Reason	Hospital treatment, full inpatient with previous pre-inpatient treatment, war disabled persons' suffering/Federal Pension Act suffering	4010105	SNOMED	1970-01-01	2099-12-31	
0325	0	Admission Reason	Hospital treatment, partial inpatient, free, change of cost unit	4080064	SNOMED	1970-01-01	2099-12-31	
0807	0	Admission Reason	Inpatient admission for organ removal, emergency	4180080	SNOMED	1970-01-01	2099-12-31	
