concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000001040	General fee schedule position across physician groups	Observation	EBM	EBM Hierarchy	<null>	OMOP6000000	1970-01-01	2099-12-31	<null>
2000001041	General fee schedule position	Observation	EBM	EBM Hierarchy	<null>	OMOP6000001	1970-01-01	2099-12-31	<null>
2000001042	Reimbursement of expenses for a patient's special use of the contracted physician	Observation	EBM	EBM Hierarchy	<null>	OMOP6000002	1970-01-01	2099-12-31	<null>
2000001043	Unforeseen use of the contracted physician by a patient between 7:00 p.m. and 10:00 p.m., on Saturdays, Sundays and public holidays, on 24.12. and 31.12. between 7:00 a.m. and 7:00 p.m.	Observation	EBM	EBM code	<null>	01100	2013-10-01	2099-12-31	<null>
2000001044	Unforeseen use of the contracted physician by a patient between 22:00 and 07:00, on Saturdays, Sundays and public holidays, on 24.12. and 31.12. between 19:00 and 07:00	Observation	EBM	EBM code	<null>	01101	2013-10-01	2099-12-31	<null>
2000001045	Use of the contracted physician on Saturdays between 07:00 and 19:00	Observation	EBM	EBM code	<null>	01102	2013-10-01	2099-12-31	<null>
2000001046	Fee schedule positions for emergency care and organized emergency (medical) services	Observation	EBM	EBM Hierarchy	<null>	OMOP6000003	1970-01-01	2099-12-31	<null>
2000001047	Emergency flat rate in the organized emergency service and for physicians, institutes and hospitals not participating in the care of contracted physicians for the clarification of the need for treatment when used between 07:00 and 19:00 (except on Saturdays, Sundays, public holidays and on 24.12. and 31.12.)	Observation	EBM	EBM code	<null>	01205	2017-04-01	2099-12-31	<null>
2000001048	Emergency flat rate in the organized emergency service and for physicians, institutes and hospitals not participating in the care of contracted phyicians for the clarification of the need for treatment when used between 7:00 p.m. and 7:00 a.m. of the following day, all day on Saturdays, Sundays, public holidays and on 24.12. and 31.12.	Observation	EBM	EBM code	<null>	01207	2017-04-01	2099-12-31	<null>
2000001049	Emergency flat rate in the organized emergency service and for physicians, institutes and hospitals not participating in the care of contracted physicians when used between 07:00 and 19:00 (except on Saturdays, Sundays, public holidays and on 24.12. and 31.12.)	Observation	EBM	EBM code	<null>	01210	2013-10-01	2099-12-31	<null>
2000001050	Extra charge to fee schedule position 01210 for the readiness to visit in an emergency or in an organized emergency service	Observation	EBM	EBM code	<null>	01211	2013-10-01	2014-12-31	D
2000001051	Emergency flat rate in the organized emergency service and for physicians, institutes and hospitals not participating in the care of contracted physicians when used between 19:00 and 07:00 on the following day, all day on Saturdays, Sundays, public holidays and on 24.12. and 31.12.	Observation	EBM	EBM code	<null>	01212	2013-10-01	2099-12-31	<null>
2000001052	Emergency consultation flat rate I in the organized emergency service and for physicians, institutes and hospitals not participating in SHI-accredited medical care	Observation	EBM	EBM code	<null>	01214	2013-10-01	2099-12-31	<null>
2000001053	Extra charge to fee schedule position 01214 for emergency on-call services or organized emergency services	Observation	EBM	EBM code	<null>	01215	2013-10-01	2014-12-31	D
2000001054	Emergency consultation flat rate II in the organized emergency (case) service and for physicians, institutes and hospitals not participating in the care of contracted physicians when used between 7:00 p.m. and 10:00 p.m., on Saturdays, Sundays and public holidays, on 24.12. and 31.12. between 7:00 a.m. and 7:00 p.m.	Observation	EBM	EBM code	<null>	01216	2013-10-01	2099-12-31	<null>
2000001134	Surcharge DeQS-RL, Procedure 2, Annex II letter e	Observation	EBM	EBM code	<null>	01650	2019-01-01	2099-12-31	<null>
2000001055	Extra charge to fee schedule position 01216 for emergency or organized emergency service visits	Observation	EBM	EBM code	<null>	01217	2013-10-01	2014-12-31	D
2000001056	Emergency consultation flat rate III in the organized emergency service and for physicians, institutes and hospitals not participating in the care of contracted physicians when used between 10:00 p.m. and 7:00 a.m., on Saturdays, Sundays and public holidays, on 24.12. and 31.12. between 7:00 p.m. and 7:00 a.m.	Observation	EBM	EBM code	<null>	01218	2013-10-01	2099-12-31	<null>
2000001057	Extra charge to fee schedule position 01218 for emergency or organized emergency (case) service visits	Observation	EBM	EBM code	<null>	01219	2013-10-01	2014-12-31	D
2000001058	Resuscitation complex	Observation	EBM	EBM code	<null>	01220	2013-10-01	2099-12-31	<null>
2000001059	Surcharge for ventilation for fee schedule position 01220	Observation	EBM	EBM code	<null>	01221	2013-10-01	2099-12-31	<null>
2000001060	Surcharge for defibrillation for fee schedule position 01220	Observation	EBM	EBM code	<null>	01222	2013-10-01	2099-12-31	<null>
2000001061	Surcharge for emergency flat rate for fee schedule position 01210	Observation	EBM	EBM code	<null>	01223	2017-04-01	2099-12-31	<null>
2000001062	Surcharge for emergency flat rate for fee schedule position 01212	Observation	EBM	EBM code	<null>	01224	2017-04-01	2099-12-31	<null>
2000001063	Surcharge for emergency flat rate for fee schedule position 01212	Observation	EBM	EBM code	<null>	01226	2017-04-01	2099-12-31	<null>
2000001064	Basic flat rates for authorized physicians, hospitals or institutes	Observation	EBM	EBM Hierarchy	<null>	OMOP6000004	1970-01-01	2099-12-31	<null>
2000001065	Basic flat rate for physicians, institutes and hospitals authorized to provide services within at least one of the specialties of anesthesiology, gynecology and obstetrics, skin and sexually transmitted diseases, oral and maxillofacial surgery and human genetics	Observation	EBM	EBM code	<null>	01320	2013-10-01	2099-12-31	<null>
2000001066	Basic flat rate for physicians, institutes and hospitals authorized to provide services within at least one of the specialties not listed in fee schedule position 01320, with the exception of physicians who can only be utilized on referral pursuant to Section 13 (4) of the Bundesmantelvertrag-Ärzte (BMV-Ä)	Observation	EBM	EBM code	<null>	01321	2013-10-01	2099-12-31	<null>
2000001067	Surcharge for fee schedule position 01320 for treatment based on a TSS referral	Observation	EBM	EBM code	<null>	01322	2020-01-01	2099-12-31	<null>
2000001068	Surcharge for fee schedule position 01321 for treatment based on a TSS referral	Observation	EBM	EBM code	<null>	01323	2020-01-01	2099-12-31	<null>
2000001069	Visits, ward rounds, home health care review, prescription of special treatment measures, administrative complex, telephone consultation, consultation flat rate, lingering	Observation	EBM	EBM Hierarchy	<null>	OMOP6000005	1970-01-01	2099-12-31	<null>
2000001070	Visit to a sick person, carried out because of the disease	Observation	EBM	EBM code	<null>	01410	2013-10-01	2099-12-31	<null>
2000001071	Urgent visit because of the disease, carried out immediately after order	Observation	EBM	EBM code	<null>	01411	2013-10-01	2099-12-31	<null>
2000001072	Urgent visit / urgent ward round on the visiting consultants ward due to the disease, carried out immediately after ordering	Observation	EBM	EBM code	<null>	01412	2013-10-01	2099-12-31	<null>
2000001073	Visiting another sick person in the same social community (e.g., family) and/or in protective residential homes or facilities or nursing or retirement homes with nursing staff	Observation	EBM	EBM code	<null>	01413	2013-10-01	2099-12-31	<null>
2000001074	Ward rounds on the visiting consultants ward	Observation	EBM	EBM code	<null>	01414	2013-10-01	2099-12-31	<null>
2000001075	Urgent visit of a patient to protective residential homes or facilities or nursing or retirement homes with nursing staff because of the disease	Observation	EBM	EBM code	<null>	01415	2008-01-01	2099-12-31	<null>
2000001076	Accompanying a sick person by the attending physician during transport to immediately necessary inpatient treatment	Observation	EBM	EBM code	<null>	01416	2013-10-01	2099-12-31	<null>
2000001077	Visit to the organized emergency service	Observation	EBM	EBM code	<null>	01418	2013-10-01	2099-12-31	<null>
2000001078	Review of the need for and coordination of prescribed home health care	Observation	EBM	EBM code	<null>	01420	2013-10-01	2099-12-31	<null>
