source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
18	0	Discharge Reason	Retransfer	35940430	NAACCR	1970-01-01	2099-12-31	
1	0	Discharge Reason	Discharged fit for work	4053230	SNOMED	1970-01-01	2099-12-31	
11	0	Discharge Reason	Discharge to hospice	4127600	SNOMED	1970-01-01	2099-12-31	
06	0	Discharge Reason	Transfer to another hospital	763917	SNOMED	1970-01-01	2099-12-31	
12	0	Discharge Reason	Internal transfer	37079471	LOINC	1970-01-01	2099-12-31	
03	0	Discharge Reason	Treatment terminated for other reasons	4203130	SNOMED	1970-01-01	2099-12-31	
19	0	Discharge Reason	Discharge before readmission with reclassification	0	None	1970-01-01	2099-12-31	
29	0	Discharge Reason	Treatment regularly finished, ventilated transferred	0	None	1970-01-01	2099-12-31	
05	0	Discharge Reason	Change of responsibility of the cost unit	0	None	1970-01-01	2099-12-31	
10	0	Discharge Reason	Discharge to a nursing facility	4143443	SNOMED	1970-01-01	2099-12-31	
9	0	Discharge Reason	Not specified	36210399	LOINC	1970-01-01	2099-12-31	
04	0	Discharge Reason	Treatment terminated against medical advice	4021968	SNOMED	1970-01-01	2099-12-31	
22	0	Discharge Reason	Case closure (internal transfer) when changing between full inpatient, part inpatient and inpatient-equivalent treatment	37079471	LOINC	1970-01-01	2099-12-31	
2	0	Discharge Reason	Discharged incapacitated	4052193	SNOMED	1970-01-01	2099-12-31	
09	0	Discharge Reason	Discharge to a rehabilitation facility	762906	SNOMED	1970-01-01	2099-12-31	
24	0	Discharge Reason	Termination of an external stay with absence over midnight (BPflV area - for pseudo department 0003)	0	None	1970-01-01	2099-12-31	
20	0	Discharge Reason	Discharge before readmission with reclassification due to complication	0	None	1970-01-01	2099-12-31	
02	0	Discharge Reason	Treatment regularly finished, post-inpatient treatment planned	4082735	SNOMED	1970-01-01	2099-12-31	
01	0	Discharge Reason	Treatment regularly finished	4082735	SNOMED	1970-01-01	2099-12-31	
17	0	Discharge Reason	Internal transfer with change between the charge areas of the DRG flat rates per case, in accordance with BPflV or for special facilities in accordance with § 17b Abs. 1 Satz 15 KHG with return transfer	0	None	1970-01-01	2099-12-31	
07	0	Discharge Reason	Death	4306655	SNOMED	1970-01-01	2099-12-31	
21	0	Discharge Reason	Discharge or transfer with subsequent readmission	35940430	NAACCR	1970-01-01	2099-12-31	
15	0	Discharge Reason	Treatment terminated against medical advice, post-inpatient treatment planned	45877579	LOINC	1970-01-01	2099-12-31	
08	0	Discharge Reason	Transfer to another hospital in the context of a cooperation (§ 14 Abs. 5 Satz 2 BPflV in the version valid on 31.12.2003)	763917	SNOMED	1970-01-01	2099-12-31	
27	0	Discharge Reason	Termination of a period without direct patient contact (inpatient-equivalent treatment - for pseudo department 0004)	0	None	1970-01-01	2099-12-31	
14	0	Discharge Reason	Treatment terminated for other reasons, post-inpatient treatment planned	4203130	SNOMED	1970-01-01	2099-12-31	
23	0	Discharge Reason	Start of an external stay with absence over midnight (BPflV area - for transferring department)	0	None	1970-01-01	2099-12-31	
13	0	Discharge Reason	external transfer for psychiatric treatment	44790593	SNOMED	1970-01-01	2099-12-31	
28	0	Discharge Reason	Treatment regularly finished, ventilated discharged	0	None	1970-01-01	2099-12-31	
26	0	Discharge Reason	Start of a period without direct patient contact (inpatient-equivalent treatment)	0	None	1970-01-01	2099-12-31	
25	0	Discharge Reason	Discharge at the end of the year in the case of admission in the previous year (for billing purposes - § 4 PEPPV)	0	None	1970-01-01	2099-12-31	
16	0	Discharge Reason	External transfer with return transfer or change between the charge areas of the DRG flat rates per case, in accordance with BPflV or for special facilities in accordance with § 17b Abs. 1 Satz 15 KHG with return transfer	0	None	1970-01-01	2099-12-31	
