concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000000805	Spinal diseases with prognostic short-term need for treatment	Condition	HMK	HMK Hierarchy		WS1	2004-07-01	2020-12-31	D
2000000806	Dysfunction/pain due to joint dysfunction, joint blockage (also ISG or upper cervical joints)	Condition	HMK	HMK code		WS1a	2004-07-01	2020-12-31	D
2000000807	Dysfunction/pain due to misuse or overuse of discoligamentous structures	Condition	HMK	HMK code		WS1b	2004-07-01	2020-12-31	D
2000000808	Muscle imbalance, insufficiency, shortening	Condition	HMK	HMK code		WS1c	2004-07-01	2020-12-31	D
2000000809	Segmental movement disorders	Condition	HMK	HMK code		WS1d	2004-07-01	2020-12-31	D
2000000810	Pain/dysfunction due to muscle tension disorders, shortening of elastic and contractile structures, tissue swelling, stiffness, adhesions	Condition	HMK	HMK code		WS1e	2004-07-01	2020-12-31	D
2000000811	Spinal diseases with prognostic long-term need for treatment (especially limitations of relevant activities of daily living, multistructural or functional damage)	Condition	HMK	HMK Hierarchy		WS2	2004-07-01	2020-12-31	D
2000000812	Dysfunction/pain due to joint dysfunction, joint blockage (also ISG or upper cervical joints)	Condition	HMK	HMK code		WS2a	2004-07-01	2020-12-31	D
2000000813	Dysfunction/pain due to misuse or overuse of discoligamentous structures	Condition	HMK	HMK code		WS2b	2004-07-01	2020-12-31	D
2000000814	Muscle imbalance, insufficiency, shortening	Condition	HMK	HMK code		WS2c	2004-07-01	2020-12-31	D
2000000815	Segmental movement disorders	Condition	HMK	HMK code		WS2d	2004-07-01	2020-12-31	D
2000000816	Motor paresis of extremity muscles/sensomotor deficits	Condition	HMK	HMK code		WS2e	2004-07-01	2020-12-31	D
2000000817	Pain/dysfunction due to muscle tension disorders, shortening of elastic and contractile structures, tissue swelling, stiffness, adhesions	Condition	HMK	HMK code		WS2f	2004-07-01	2020-12-31	D
2000000818	D1 complex damage/dysfunction - in case of two leading damages/dysfunctions a to d in addition to f	Condition	HMK	HMK code		WS2g	2004-07-01	2020-12-31	D
2000000819	Injuries/surgeries and diseases of the extremities and pelvis with prognostic short-term need for treatment	Condition	HMK	HMK Hierarchy		EX1	2004-07-01	2020-12-31	D
2000000820	Joint dysfunction, movement disorder, contractures	Condition	HMK	HMK code		EX1a	2004-07-01	2020-12-31	D
2000000821	Functional disorders due to muscle imbalance, insufficiency, shortening	Condition	HMK	HMK code		EX1b	2004-07-01	2020-12-31	D
2000000822	Pain/dysfunction due to muscle tension disorders, shortening of elastic and contractile structures, tissue swelling, stiffness, adhesions	Condition	HMK	HMK code		EX1c	2004-07-01	2020-12-31	D
2000000823	Injuries/surgeries and diseases of the extremities and pelvis with prognostic medium-term need for treatment (especially limitations of relevant activities of daily living, multistructural functional damage)	Condition	HMK	HMK Hierarchy		EX2	2004-07-01	2020-12-31	D
2000000824	Joint dysfunction, movement disorder, contractures	Condition	HMK	HMK code		EX2a	2004-07-01	2020-12-31	D
2000000825	Functional disorders due to muscle imbalance, insufficiency, shortening	Condition	HMK	HMK code		EX2b	2004-07-01	2020-12-31	D
2000000826	Pain/dysfunction due to muscle tension disorders, shortening of elastic and contractile structures, tissue swelling, stiffness, adhesions	Condition	HMK	HMK code		EX2c	2004-07-01	2020-12-31	D
2000000827	D1 complex damage/dysfunction - in case of two leading damages/dysfunctions a and b in addition to c	Condition	HMK	HMK code		EX2d	2004-07-01	2020-12-31	D
2000000828	Injuries/surgeries and diseases of the extremities and pelvis with prognostic long-term need for treatment (especially limitations of relevant activities of daily living, multistructural functional damage)	Condition	HMK	HMK Hierarchy		EX3	2004-07-01	2020-12-31	D
2000000829	Joint dysfunction, movement disorder, contractures	Condition	HMK	HMK code		EX3a	2004-07-01	2020-12-31	D
2000000830	Functional disorders due to muscle imbalance, insufficiency, shortening	Condition	HMK	HMK code		EX3b	2004-07-01	2020-12-31	D
2000000831	Pain/dysfunction due to muscle tension disorders, shortening of elastic and contractile structures, tissue swelling, stiffness, adhesions	Condition	HMK	HMK code		EX3c	2004-07-01	2020-12-31	D
2000000832	D1 complex damage/dysfunction - in case of two leading damages/dysfunctions a and b in addition to c	Condition	HMK	HMK code		EX3d	2004-07-01	2020-12-31	D
2000000833	Malformations and deformities, structural damage of the supporting and locomotor organs in infancy, toddlerhood and childhood	Condition	HMK	HMK Hierarchy		EX4	2004-07-01	2020-12-31	D
2000000834	Functional disorders due to muscle shortening, tendon shortening, contractures, muscle insufficiency, dysbalance, shortening, segmental movement disorders	Condition	HMK	HMK code		EX4a	2004-07-01	2020-12-31	D
2000000835	Chronic pain syndrome	Condition	HMK	HMK Hierarchy		CS	2004-07-01	2099-12-31	
2000000836	Nonspecific painful movement disorders, functional disorders, also in case of general deconditioning	Condition	HMK	HMK code		CSa	2004-07-01	2020-12-31	U
2000000837	Chronic pain	Condition	HMK	HMK code		CSa	2021-01-01	2099-12-31	
2000000838	Pain/dysfunction due to muscle tension disorders, shortening of elastic and contractile structures, tissue swelling, stiffness, adhesions	Condition	HMK	HMK code		CSb	2004-07-01	2020-12-31	D
2000000839	CNS diseases including the spinal cord up to the age of 18	Condition	HMK	HMK Hierarchy		ZN1	2004-07-01	2020-12-31	D
2000000840	Movement disorders of extremities, trunk and head musculature e.g. with hemi-, tetra-, paraplegia/paresis	Condition	HMK	HMK code		ZN1a	2004-07-01	2020-12-31	D
2000000841	Dysfunctions due to muscle tone disorders, e.g. spasticity, also with sequelae such as contractures, centrally induced muscle hypotonia	Condition	HMK	HMK code		ZN1b	2004-07-01	2020-12-31	D
2000000842	Central coordination disorders and disorders of gross and fine motor skills, such as dystonia, choreatic-athetotic disorders, ataxic disorders	Condition	HMK	HMK code		ZN1c	2004-07-01	2020-12-31	D
2000000843	CNS diseases including the spinal cord after the age of 18	Condition	HMK	HMK Hierarchy		ZN2	2004-07-01	2020-12-31	D
2000000844	Movement disorders of extremities, trunk and head musculature e.g. with hemi-, tetra-, paraplegia/paresis	Condition	HMK	HMK code		ZN2a	2004-07-01	2020-12-31	D
