concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000000002	PIA service without doctor or psychologist contact, without outreach treatment	Procedure	PIA	Procedure	<null>	PIA-001	1970-01-01	2099-12-31	D
2000000003	PIA service with doctor or psychologist contact, without outreach treatment	Procedure	PIA	Procedure	<null>	PIA-002	1970-01-01	2099-12-31	D
2000000004	PIA service with doctor or psychologist contact, with outreach treatment	Procedure	PIA	Procedure	<null>	PIA-003	1970-01-01	2099-12-31	D
2000000005	PIA service without doctor or psychologist contact, with outreach treatment	Procedure	PIA	Procedure	<null>	PIA-004	1970-01-01	2099-12-31	D
2000000006	Physicians' services, individual treatment, up to 20 min.	Procedure	PIA	Procedure	<null>	PIA-11A	2018-07-01	2099-12-31	<null>
2000000007	Physicians' services, individual treatment, > 20 to 60 min.	Procedure	PIA	Procedure	<null>	PIA-11B	2018-07-01	2099-12-31	<null>
2000000008	Physicians' services, individual treatment, > 60 min.	Procedure	PIA	Procedure	<null>	PIA-11C	2018-07-01	2099-12-31	<null>
2000000009	Physicians' services, small group, up to 60 min.	Procedure	PIA	Procedure	<null>	PIA-14A	2018-07-01	2099-12-31	<null>
2000000010	Physicians' services, small group, > 60 to 90 min.	Procedure	PIA	Procedure	<null>	PIA-14B	2018-07-01	2099-12-31	<null>
2000000011	Physicians' services, small group, > 90 min.	Procedure	PIA	Procedure	<null>	PIA-14C	2018-07-01	2099-12-31	<null>
2000000012	Physicians' services, large group, up to 60 min.	Procedure	PIA	Procedure	<null>	PIA-15A	2018-07-01	2099-12-31	<null>
2000000013	Physicians' services, large group, > 60 to 90 min.	Procedure	PIA	Procedure	<null>	PIA-15B	2018-07-01	2099-12-31	<null>
2000000014	Physicians' services, large group, > 90 min.	Procedure	PIA	Procedure	<null>	PIA-15C	2018-07-01	2099-12-31	<null>
2000000015	Physicians' services, travel time for outreach treatment, up to 20 min.	Procedure	PIA	Procedure	<null>	PIA-16A	2018-07-01	2099-12-31	<null>
2000000016	Physicians' services, travel time for outreach treatment, > 20 to 60 min.	Procedure	PIA	Procedure	<null>	PIA-16B	2018-07-01	2099-12-31	<null>
2000000017	Physicians' services, travel time for outreach treatment, > 60 min.	Procedure	PIA	Procedure	<null>	PIA-16C	2018-07-01	2099-12-31	<null>
2000000018	Psychologists' services, individual treatment, up to 20 min.	Procedure	PIA	Procedure	<null>	PIA-21A	2018-07-01	2099-12-31	<null>
2000000019	Psychologists' services, individual treatment, > 20 to 60 min.	Procedure	PIA	Procedure	<null>	PIA-21B	2018-07-01	2099-12-31	<null>
2000000020	Psychologists' services, individual treatment, > 60 min.	Procedure	PIA	Procedure	<null>	PIA-21C	2018-07-01	2099-12-31	<null>
2000000021	Psychologists' services, small group, up to 60 min.	Procedure	PIA	Procedure	<null>	PIA-24A	2018-07-01	2099-12-31	<null>
2000000022	Psychologists' services, small group, > 60 to 90 min.	Procedure	PIA	Procedure	<null>	PIA-24B	2018-07-01	2099-12-31	<null>
2000000023	Psychologists' services, small group, > 90 min.	Procedure	PIA	Procedure	<null>	PIA-24C	2018-07-01	2099-12-31	<null>
2000000024	Psychologists' services, large group, up to 60 min.	Procedure	PIA	Procedure	<null>	PIA-25A	2018-07-01	2099-12-31	<null>
2000000025	Psychologists' services, large group, > 60 to 90 min.	Procedure	PIA	Procedure	<null>	PIA-25B	2018-07-01	2099-12-31	<null>
2000000026	Psychologists' services, large group, > 90 min.	Procedure	PIA	Procedure	<null>	PIA-25C	2018-07-01	2099-12-31	<null>
