concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000004797	Day clinic orthopedics	Observation	Inpatient charge	INP charge code	<null>	85000063	1970-01-01	2099-12-31	<null>
2000004687	Daily charge in accordance with section 7 (1) no. 5 KHEntgG	Observation	Inpatient charge	INP charge Hierarchy	<null>	OMOP6000364	1970-01-01	2099-12-31	<null>
2000004688	Annex 3a (full inpatient) DRG fee catalog 2019 (per day)	Observation	Inpatient charge	INP charge Hierarchy	<null>	OMOP6000365	1970-01-01	2099-12-31	<null>
2000004689	Bone marrow transplant/stem cell transfusion, allogeneic, with second bone marrow transplant/stem cell transfusion during same stay	Observation	Inpatient charge	INP charge code	<null>	8500A04A	1970-01-01	2099-12-31	<null>
2000004690	Bone marrow transplant/stem cell transfusion, autogenous, with second bone marrow transplant/stem cell transfusion during same stay	Observation	Inpatient charge	INP charge code	<null>	8500A15A	1970-01-01	2099-12-31	<null>
2000004691	Transplantation of intestine or pancreas	Observation	Inpatient charge	INP charge code	<null>	8500A16A	1970-01-01	2099-12-31	<null>
2000004692	Injection of pancreatic tissue 	Observation	Inpatient charge	INP charge code	<null>	8500A16B	1970-01-01	2099-12-31	<null>
2000004693	Corrective surgery for double malformation	Observation	Inpatient charge	INP charge code	<null>	8500A22Z	1970-01-01	2099-12-31	<null>
2000004694	Early rehabilitation in persistent vegetative state and locked-in syndrome	Observation	Inpatient charge	INP charge code	<null>	8500A43Z	1970-01-01	2099-12-31	<null>
2000004695	Early rehabilitation with specific OR procedure	Observation	Inpatient charge	INP charge code	<null>	8500B11Z	1970-01-01	2099-12-31	<null>
2000004696	Epilepsy surgery with invasive preoperative video EEG	Observation	Inpatient charge	INP charge code	<null>	8500B13Z	1970-01-01	2099-12-31	<null>
2000004697	Early rehabilitation for diseases and disorders of the nervous system, more than 27 days	Observation	Inpatient charge	INP charge code	<null>	8500B43Z	1970-01-01	2099-12-31	<null>
2000004698	Social and neuropediatric and pediatric-psychosomatic therapy for diseases and disorders of the nervous system	Observation	Inpatient charge	INP charge code	<null>	8500B46Z	1970-01-01	2099-12-31	<null>
2000004699	Multimodal complex treatment for Parkinson's disease	Observation	Inpatient charge	INP charge code	<null>	8500B49Z	1970-01-01	2099-12-31	<null>
2000004700	Certain acute diseases and injuries of the spinal cord without complex surgery or more than 13 days of occupancy or not transferred away	Observation	Inpatient charge	INP charge code	<null>	8500B61B	1970-01-01	2099-12-31	<null>
2000004701	Seizures, more than one day of occupancy, with complex diagnostics and therapy	Observation	Inpatient charge	INP charge code	<null>	8500B76A	1970-01-01	2099-12-31	<null>
2000004702	Kochlea implantation, bilateral	Observation	Inpatient charge	INP charge code	<null>	8500D01A	1970-01-01	2099-12-31	<null>
2000004703	Implantation of an active mechanical hearing implant	Observation	Inpatient charge	INP charge code	<null>	8500D23Z	1970-01-01	2099-12-31	<null>
2000004704	Prolonged inpatient stay prior to transplantation in cases of high urgency for diseases and disorders of the respiratory system	Observation	Inpatient charge	INP charge code	<null>	8500E37Z	1970-01-01	2099-12-31	<null>
2000004705	Early rehabilitation for diseases and disorders of the respiratory organs	Observation	Inpatient charge	INP charge code	<null>	8500E41Z	1970-01-01	2099-12-31	<null>
2000004706	Tuberculosis, more than 14 days of occupancy	Observation	Inpatient charge	INP charge code	<null>	8500E76A	1970-01-01	2099-12-31	<null>
